3812,47,140,132,Ą
3851,73,179,161,ą
943,61,147,132,Ć
3850,55,132,119,ć
993,144,192,180,Ĉ
992,111,174,159,ĉ
3814,80,139,125,Ċ
991,71,123,110,ċ
966,185,215,192,Č
564,167,205,175,č
563,143,192,152,Ď
562,83,151,106,ď
505,51,131,98,Đ
3817,153,195,170,đ
3816,101,165,125,Ē
163,77,131,97,ē
3815,71,119,89,Ĕ
561,44,106,69,ĕ
504,196,222,204,Ė
3813,178,212,189,ė
503,123,172,148,Ę
502,91,144,113,ę
501,57,111,82,Ě
500,4,77,51,ě
955,162,214,173,Ĝ
954,136,186,145,ĝ
913,109,171,119,Ğ
912,27,157,107,ğ
911,24,144,101,Ġ
910,24,126,86,ġ
909,21,111,73,Ģ
3818,17,90,59,ģ
369,215,237,204,Ĥ
368,166,194,152,ĥ
320,105,136,90,Ħ
367,97,122,82,ħ
319,32,95,46,Ĩ
890,23,73,35,ĩ
164,200,216,184,Ī
989,141,166,117,ī
988,115,139,91,Ĭ
987,88,113,65,ĭ
986,64,82,48,Į
772,228,236,212,į
3348,204,217,177,İ
3347,113,147,92,ı
3346,64,106,58,Ĳ
3345,27,89,21,ĳ
895,27,83,0,Ĵ
704,158,207,52,ĵ
703,123,181,71,Ķ
702,71,167,47,ķ
701,63,143,41,ĸ
700,7,115,27,Ĺ
699,5,101,23,ĺ
907,199,230,102,Ļ
906,127,179,53,ļ
905,98,138,40,Ľ
904,85,120,34,ľ
472,216,228,152,Ŀ
471,174,191,121,ŀ
470,148,171,79,Ł
469,114,132,60,ł
937,98,113,51,Ń
936,76,88,38,ń
935,66,77,33,Ņ
934,49,57,25,ņ
523,171,177,151,Ň
3053,156,164,130,ň
3052,136,146,104,ŉ
3051,95,102,72,Ŋ
524,196,205,172,ŋ
522,150,158,126,Ō
520,102,109,79,ō
3364,131,151,95,Ŏ
3363,114,130,86,ŏ
3362,94,107,71,Ő
165,239,244,164,Œ
3819,224,232,104,œ
166,192,200,64,Ŕ
581,167,174,56,ŕ
580,136,141,51,Ŗ
734,199,192,119,ŗ
733,188,179,76,Ř
732,148,140,54,ř
731,147,139,55,Ś
730,130,123,48,ś
3013,185,185,130,Ŝ
3012,166,167,93,ŝ
3011,137,138,88,Ş
372,204,183,132,ş
371,191,166,113,Š
370,184,157,100,š
834,219,190,127,Ţ
833,200,171,108,ţ
832,189,155,81,Ť
831,170,143,86,ť
830,141,120,75,Ŧ
829,126,107,66,ŧ
613,220,196,170,Ũ
612,188,154,120,ũ
611,150,118,86,Ū
610,121,96,71,ū
3047,231,214,193,Ŭ
3046,216,188,154,ŭ
3045,188,150,106,Ů
167,167,124,73,ů
746,252,252,238,Ű
677,245,236,203,ű
422,198,159,123,Ų
3828,183,139,97,ų
420,160,112,66,Ŵ
869,131,94,57,ŵ
728,228,180,104,Ŷ
783,206,145,36,ŷ
782,174,119,32,Ÿ
781,162,109,32,Ź
780,148,99,26,ź
676,229,206,151,Ż
729,208,165,62,ż
680,188,141,14,Ž
3829,169,130,4,ž
3822,246,220,152,ſ
3821,243,206,117,ƀ
3820,223,182,95,Ɓ
3852,205,157,55,Ƃ
445,255,251,139,ƃ
307,253,237,84,Ƅ
973,255,227,0,ƅ
444,255,214,0,Ɔ
3078,253,249,205,Ƈ
727,255,241,175,ƈ
726,253,215,85,Ɖ
725,255,200,64,Ɗ
972,255,181,21,Ƌ
745,255,233,173,ƌ
744,255,231,147,ƍ
743,254,211,118,Ǝ
742,255,191,87,Ə
741,255,163,43,Ɛ
740,255,139,0,Ƒ
970,247,139,19,ƒ
971,246,127,0,Ɠ
947,255,123,77,Ɣ
946,235,99,7,ƕ
900,209,88,7,Ɩ
967,255,222,213,Ɨ
3824,254,205,194,Ƙ
3341,252,171,152,ƙ
3340,255,131,111,ƚ
608,253,93,53,ƛ
606,250,50,3,Ɯ
951,255,226,207,Ɲ
3856,255,211,181,ƞ
722,247,151,111,Ɵ
721,242,120,66,Ơ
720,229,92,31,ơ
3825,253,189,150,Ƣ
922,226,115,35,ƣ
921,198,98,24,Ƥ
920,172,84,20,ƥ
919,166,69,16,Ʀ
918,130,52,10,Ƨ
3770,255,238,227,ƨ
945,251,213,187,Ʃ
402,247,167,119,ƪ
3776,207,121,57,ƫ
